TAZ_ID,pop_pct_min,pop_pct_non-min,pop_pct_low,pop_pct_non_low,dif_CO_sqmi,dif_CongVMT,dif_Retl60Trn,dif_Jobs60Trn,dif_HEdu40Trn,dif_Heal40Trn,dif_HwyAttrTm,dif_TrnAttrTm,dif_HwyProdTm,dif_TrnProdTm
2298,0.063291139,0.936708861,0.09686221,0.90313779,-0.6284109999999998,-417.25105999999505,0,0,0,0,0.0013180000000012626,0,-0.008084999999997677,0
2299,0.0700611,0.9299389,0.159914712,0.840085288,-0.5529309999999974,-480.55332799999996,0,0,0,0,0.0028660000000009234,0.08857799999999827,-0.005057999999998231,0.0272290000000055
2300,0.146208402,0.853791598,0.225080386,0.774919614,-0.330332999999996,-293.10317000000214,0,0,0,0,-0.0019010000000001526,-0.004035999999999262,-0.0019929999999988013,-0.030098000000009506
2301,0.061944091,0.938055909,0.126008065,0.873991935,-0.25799400000000006,-251.9288059999999,0,0,0,0,0.00540499999999966,0.0473790000000065,-0.008542999999999523,0.016898999999995112
2341,0.080565806,0.919434194,0.186626747,0.813373253,-0.09471500000000077,-67.01799000000028,0,0,0,0,0.016493000000000535,0.09704600000000596,0.0020330000000008397,0.07380700000000218
2342,0.042669233,0.957330767,0.185185185,0.814814815,0.035634999999999195,-0.004412000000002081,0,0,0,0,0.012142000000000763,0.016174000000006572,-0.0038410000000013156,-0.0026629999999983056
2343,0.063056888,0.936943112,0.202898551,0.797101449,0.02302699999999902,12.075070000002597,0,0,0,0,0.004993999999999943,0.2081139999999948,-0.0012210000000010268,0.08840899999999863
2344,0.066539014,0.933460986,0.234680574,0.765319426,0.017033000000001408,5.526304999999411,0,0,0,0,0.009389999999999787,0.4293219999999991,-0.0010300000000000864,0.22248799999999846
2345,0.071252205,0.928747795,0.221524664,0.778475336,0.013963999999999643,0,0,0,0,0,0.004127999999997911,-0.039207000000004655,2.3999999999801958e-4,-0.018546999999998093
2346,0.110407876,0.889592124,0.12223393,0.87776607,-0.019709000000000643,1.6373479999999745,0,0,0,0,0.006636000000000308,-0.02701499999999868,0.0012149999999984118,-0.05343599999999071
2347,0.077281812,0.922718188,0.121896163,0.878103837,-6.010000000005178e-4,0,0,0,0,0,0.009387999999997731,0,0.010058999999998264,0
2348,0.06026253,0.93973747,0.06779661,0.93220339,-0.01436999999999955,0,0,0,0,0,0.0030739999999980228,0,4.61000000001377e-4,0
2349,0.067293565,0.932706435,0.13865932,0.86134068,-0.012634999999999508,11.87942000000021,0,0,0,0,3.680000000017003e-4,-0.005775999999997339,0.001532000000000977,-0.014724999999998545
2350,0.144444444,0.855555556,0.204861111,0.795138889,-0.014440000000000008,-3.924666000000002,0,0,0,0,0.001172000000000395,0.00453600000000165,9.969999999981383e-4,0.004111999999999227
2351,0.081460674,0.918539326,0.154150198,0.845849802,-0.25199100000000385,-2976.9797000000017,0,0,0,0,0.0019510000000018124,0.003318000000000154,0.0011270000000003222,0.003284999999998206
2352,0.149459194,0.850540806,0.185074627,0.814925373,-0.03963599999999978,-3.6118940000000066,0,0,0,0,0.0013390000000015334,0.004187999999999192,0.0011579999999966617,0.003849000000002434
2353,0,1,0,1,-0.09480199999999961,-2.230007999999998,0,0,0,0,0.003875999999998214,0.007735999999994192,0.0040690000000012105,0.01188600000000406
2354,0.100286533,0.899713467,0.192419825,0.807580175,0.037598000000002685,-0.39354600000001483,0,0,0,0,0.0018889999999984752,0.03743000000000052,0.001277000000001749,0.025893999999993866
2355,0.093718843,0.906281157,0.182370821,0.817629179,0.00638100000000108,0.40986500000008164,0,0,0,0,0.0039879999999996585,0.02551300000000367,0.0018820000000001613,0.019149999999996226
2356,0.05399568,0.94600432,0.197392924,0.802607076,-0.12230000000000985,239.0643199999995,0,0,0,0,0.004357999999999862,0.02394100000000776,0.00278199999999984,0.02524599999999566
